"﻿Breed","Citysize","Gender","Neutralization","Age","Weight","Color","Adoption","Disease","Behavior","B_D"
"Mix","Medium City","Female","Yes",3,6,"White&Black","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,3,"Black&Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",2,3,"Black&White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,20,"Etc","No","No","Positive","PosNo"
"Mix","Big City","Male","No",3,6,"White&Black","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,0.7,"White","Yes","No","Neutral","NeuNo"
"Mix","Small City","Female","No",2,8,"White&Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Small City","Female","No",2,14,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",5,15,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,6,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",4,7.5,"Black&White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Metropolis","Male","No",1,2.6,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",4,6.7,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,3,"Brown","Yes","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",2,4,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,9.7,"White&Brown","No","No","Negative","NegNo"
"Mix","Small City","Female","No",1,6,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",5,9,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,8.5,"White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Metropolis","Female","No",2,5.2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,5,"Brown","No","No","Positive","PosNo"
"Mix","Big City","Male","No",1,3.3,"Brown","No","No","Neutral","NeuNo"
"Mix","Small City","Female","No",2,3,"Black&Brown","No","No","Neutral","NeuNo"
"Sporting","Big City","Male","No",6,10.5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"White&Brown","No","No","Negative","NegNo"
"Sporting","Big City","Male","No",2,40,"Brown","No","No","Positive","PosNo"
"Toy","Big City","Male","No",11,2,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,15,"White","No","No","Positive","PosNo"
"Mix","Metropolis","Male","No",1,3.2,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",2,10,"Black","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,1.3,"White&Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",1,2.8,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",2,12,"White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,1.3,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Female","No",11,4.2,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",6,4.3,"Brown","No","No","Negative","NegNo"
"Mix","Big City","Female","No",1,4.58,"White&Brown","No","No","Positive","PosNo"
"Sporting","Medium City","Female","No",1,2,"White&Black","No","No","Positive","PosNo"
"Mix","Big City","Male","No",4,6.8,"White&Brown","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",2,7.5,"Brown","Yes","No","Positive","PosNo"
"Sporting","Medium City","Female","No",3,25,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,5.5,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,4.2,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2.3,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,4.5,"White","Yes","No","Positive","PosNo"
"Non-Sporting","Small City","Female","No",2,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",7,14,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",3,10,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3.5,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",6,16,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,2,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",4,5,"Black&Brown","Yes","Yes","Negative","NegYes"
"Mix","Metropolis","Female","Yes",1,3.6,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",5,20,"Brown","No","Yes","Negative","NegYes"
"Mix","Metropolis","Female","No",1,2,"White","No","No","Neutral","NeuNo"
"Mix","Small City","Male","No",1,0.5,"White&Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",6,4,"White","No","No","Positive","PosNo"
"Mix","Small City","Male","No",3,8,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,4.36,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",6,30,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,1.22,"Black&Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Small City","Female","No",3,3.5,"White","Yes","No","Neutral","NeuNo"
"Terrier","Medium City","Male","Yes",11,2,"Black&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","No",5,6,"White","Yes","No","Positive","PosNo"
"Herding","Big City","Male","No",2,10,"White&Black","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,1,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,13.9,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",4,11,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,11.7,"Brown","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",7,5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",4,6.2,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",4,4.3,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,4,"Brown","No","No","Negative","NegNo"
"Working","Medium City","Male","Yes",11,9.5,"White&Black","No","Yes","Neutral","NeuYes"
"Mix","Big City","Male","No",1,3,"Black","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",3,15,"Black","Yes","No","Negative","NegNo"
"Hound","Medium City","Female","No",6,17,"Black&Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,3.9,"Brown","No","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",6,10,"White","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","Yes",3,5,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,15,"Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Small City","Female","No",2,5,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,20,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"Brown","Yes","No","Negative","NegNo"
"Mix","Big City","Female","No",6,6.5,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,20,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,1.2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,7,"White&Brown","Yes","Yes","Negative","NegYes"
"Miscellaneous","Medium City","Female","No",3,11,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,6,"Brown","No","No","Neutral","NeuNo"
"Sporting","Big City","Male","No",3,5,"White","Yes","No","Neutral","NeuNo"
"Mix","Small City","Male","No",1,5,"Brown","No","No","Negative","NegNo"
"Mix","Big City","Female","No",1,4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,3.5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",2,6,"White","No","Yes","Negative","NegYes"
"Miscellaneous","Small City","Female","No",6,21.6,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,15.34,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",5,6,"Black","No","No","Neutral","NeuNo"
"Toy","Big City","Female","No",1,1.5,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,22,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",2,12,"White","No","Yes","Neutral","NeuYes"
"Hound","Medium City","Female","No",1,6.5,"Etc","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",4,5,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",2,6.2,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,1,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,6,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,13,"Black&White&Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,2.9,"White&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",2,12,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"White","No","No","Positive","PosNo"
"Toy","Big City","Male","Yes",9,8.1,"Black&Brown","No","Yes","Neutral","NeuYes"
"Mix","Small City","Male","Yes",3,4,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",2,2.5,"Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3.9,"White&Black","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,5.4,"White&Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",2,15,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,2.7,"Brown","No","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",2,1,"White&Brown","No","No","Positive","PosNo"
"Mix","Metropolis","Female","No",1,1.1,"White","Yes","No","Neutral","NeuNo"
"Mix","Big City","Male","No",1,7.5,"White&Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,1,"Black&Brown","No","No","Positive","PosNo"
"Miscellaneous","Big City","Male","No",2,6,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",6,52,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",3,18,"Black","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,7.6,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,12.5,"Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",2,16,"White","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",1,1.5,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",4,10,"White","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",1,1.1,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",4,3.4,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,11,"White","Yes","Yes","Negative","NegYes"
"Miscellaneous","Small City","Male","No",6,20,"White","Yes","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",5,19,"White","No","No","Positive","PosNo"
"Toy","Big City","Female","No",7,2.6,"White","Yes","No","Positive","PosNo"
"Hound","Medium City","Female","No",4,3.7,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Small City","Male","No",5,4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,5,"White","No","No","Negative","NegNo"
"Sporting","Medium City","Female","No",5,30,"Brown","Yes","No","Positive","PosNo"
"Hound","Big City","Male","Yes",6,25,"Black&White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,13,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,1,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.2,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,2.56,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,2.76,"White&Brown","No","No","Positive","PosNo"
"Working","Big City","Male","No",1,20,"White","Yes","Yes","Negative","NegYes"
"Mix","Big City","Female","No",2,10,"Black&Brown","No","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",2,15,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",7,15,"Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,14,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",5,4.8,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,4.5,"White","Yes","Yes","Negative","NegYes"
"Non-Sporting","Small City","Male","No",3,7,"White","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","Yes",6,4,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,2,"White","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",5,1.8,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,12,"Black","No","No","Positive","PosNo"
"Mix","Big City","Female","No",1,3.8,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,8.54,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.5,"Brown","No","No","Negative","NegNo"
"Toy","Big City","Male","No",5,3,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",2,5,"White&Brown","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",5,7.3,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",7,4.5,"White&Brown","Yes","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","Yes",6,3,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,4.2,"White&Black","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,3,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,2.3,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,3.5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,12,"Black","No","No","Negative","NegNo"
"Mix","Small City","Male","No",2,7,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",8,20,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.3,"Black","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,0.2,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",6,4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.7,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,15,"Brown","No","No","Positive","PosNo"
"Working","Small City","Female","No",4,15,"White","No","No","Positive","PosNo"
"Mix","Small City","Male","No",2,5,"White&Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",9,3,"White","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,2.2,"Etc","No","Yes","Negative","NegYes"
"Herding","Small City","Male","No",2,21,"Black&Brown","Yes","No","Negative","NegNo"
"Mix","Big City","Female","No",1,3.5,"Black","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,10,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,4,"Black&White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",19,2,"Black","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,4.3,"Black&Brown","No","No","Neutral","NeuNo"
"Working","Medium City","Male","No",2,20,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",5,6,"Brown","No","No","Negative","NegNo"
"Sporting","Medium City","Female","No",6,18,"White&Black","No","No","Neutral","NeuNo"
"Mix","Small City","Male","No",5,16,"Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,2.9,"White&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","Yes",5,4.7,"White","Yes","No","Neutral","NeuNo"
"Toy","Big City","Male","No",3,2,"Black&Brown","No","No","Neutral","NeuNo"
"Herding","Medium City","Male","No",2,8,"White&Brown","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",2,3,"White","Yes","No","Positive","PosNo"
"Sporting","Metropolis","Female","No",3,40,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,15,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,4,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,3,"White&Brown","No","Yes","Negative","NegYes"
"Miscellaneous","Medium City","Female","No",1,10,"Brown","No","Yes","Negative","NegYes"
"Miscellaneous","Big City","Male","No",3,15,"White","No","Yes","Neutral","NeuYes"
"Non-Sporting","Medium City","Female","No",6,4.2,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Metropolis","Female","No",1,3,"Brown","No","No","Neutral","NeuNo"
"Mix","Big City","Female","No",2,6,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",5,6,"White&Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",6,18,"Black&Brown","No","No","Negative","NegNo"
"Non-Sporting","Big City","Male","No",1,3,"Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",5,25,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","No",4,20,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",7,6,"Black&Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,10,"Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Female","No",1,14,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,5,"White","No","No","Negative","NegNo"
"Sporting","Medium City","Male","No",4,23,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",5,5.2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,1.8,"White&Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,3.9,"Black&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",2,15,"Black&Brown","No","Yes","Negative","NegYes"
"Miscellaneous","Small City","Male","No",3,17,"White","Yes","No","Negative","NegNo"
"Mix","Big City","Male","No",3,8,"White&Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",4,3.8,"Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,1.5,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,8,"Black&Brown","No","No","Negative","NegNo"
"Mix","Big City","Female","No",1,4.2,"Black","Yes","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",6,6,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,6.8,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,17.8,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",5,30,"Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","No",3,21.4,"White&Black","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,0.4,"Black","No","No","Negative","NegNo"
"Hound","Medium City","Male","No",2,3,"White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,6.4,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,16.5,"White","No","No","Positive","PosNo"
"Toy","Metropolis","Male","Yes",1,2.2,"White","Yes","Yes","Negative","NegYes"
"Toy","Small City","Female","No",4,3,"White","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",2,3,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",2,15,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,1.5,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"White","Yes","Yes","Negative","NegYes"
"Toy","Big City","Female","No",2,5,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,6,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,2.2,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Female","No",6,10,"Black","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,6,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Female","No",1,0.5,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,5,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1.44,"White&Black","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",4,2.2,"White","Yes","No","Neutral","NeuNo"
"Mix","Small City","Male","No",4,15,"White","No","No","Positive","PosNo"
"Toy","Big City","Male","No",13,3,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",1,2,"White&Black","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",4,7.2,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,0.2,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,5,"Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,1.1,"White&Brown","Yes","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","Yes",19,2.7,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,3,"White","No","No","Negative","NegNo"
"Miscellaneous","Medium City","Female","No",4,14,"White","Yes","No","Negative","NegNo"
"Mix","Small City","Male","No",4,7,"White&Black","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",3,21,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,2.5,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,4.5,"Brown","Yes","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",2,3.7,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,3,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,5,"White","Yes","No","Positive","PosNo"
"Working","Small City","Male","No",3,18,"White&Brown","Yes","No","Positive","PosNo"
