"character","breed","city_size","gender","surgery","age","weight","color","y","positive","negative","disease","behavior"
"칩x, 7개월추정, 너무 작고 깜찍한 실버푸들, 사람을 좋아하고 조용한 성격, 친구들과도 잘지내는 착한아이,,","Toy","거대도시","수컷","아니오",1,2.8,"검",1,1,0,0,1
"순하고 영리함,,","Mix","소도시","암컷","아니오",2,25,"갈",1,1,0,0,1
"사나움,,","Mix","소도시","암컷","아니오",2,10,"흰",0,0,-1,0,-1
"버스정류장 묶어놓고 버림, 순함,영리함,,","Mix","소도시","수컷","아니오",2,7,"흰검",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","암컷","아니오",1,1.8,"갈검",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","암컷","아니오",1,1.7,"갈검",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","수컷","아니오",1,1.3,"흰갈검",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","암컷","아니오",1,2,"갈",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","암컷","아니오",1,2,"갈검",0,1,0,0,1
"하양119안전부근 하천에서 유기되었으며 귀여워요,,","Mix","중소도시","수컷","아니오",1,2,"갈검",0,1,0,0,1
"순함. 빨간색 와이어 목줄 착용,,","Miscellaneous","소도시","암컷","아니오",4,20,"흰",1,1,0,0,1
"순함. 분홍색 옷 착용.,,","Mix","소도시","수컷","아니오",3,5,"흰",1,1,0,0,1
"입 주변 백색, 온순한편이나 사람 손을 조금 어색해함,,","Mix","대도시","수컷","아니오",4,20,"흰검",1,1,0,0,1
"약간 소심 사람좋아함 눈썹그려져있음,,","Mix","대도시","암컷","아니오",1,4,"갈",0,1,-1,0,0
"순함,,","Mix","소도시","암컷","아니오",1,3,"갈",0,1,0,0,1
"머리/꼬리털이 길고 눈물자국있음,,","Toy","대도시","수컷","아니오",6,3.7,"흰",1,0,-1,0,-1
"사람을 잘 따름,,","Mix","중소도시","수컷","아니오",2,17,"흰갈",0,1,0,0,1
"사람을 잘 따름,,","Mix","중소도시","수컷","아니오",2,13,"흰",0,1,0,0,1
"셀프미용흔적,마른상태이고 작고 온순합니다 눈이 예쁜 아이에요,,","Non-Sporting","대도시","암컷","아니오",4,2,"검",1,1,-1,0,0
"발견 당시 낡은 빨간 목줄 착용, 신고자분이 옷 입혀주심, 순하고 얌전함, 겁 조금 있음,,","Mix","중소도시","수컷","아니오",2,6,"흰갈",0,1,-1,0,0
"활발하고 겁 조금 있음,,","Non-Sporting","중소도시","수컷","아니오",7,3,"갈",1,1,-1,0,0
"온순함, 심장사상충 감염,,","Mix","중소도시","암컷","아니오",5,5,"갈검",1,1,-1,1,0
"순함, 녹색목줄,,","Mix","대도시","수컷","아니오",3,5.92,"흰",0,1,0,0,1
"순함, 미용, 연두색 패딩,,","Toy","대도시","수컷","아니오",4,3.56,"흰",1,1,0,0,1
"푸른색 목줄, 교통사고 우후지 심한 자상,,","Mix","대도시","수컷","아니오",4,6.66,"검",0,0,-1,0,-1
"순함, 녹색목줄,,","Miscellaneous","대도시","암컷","아니오",2,15.57,"흰",0,1,0,0,1
"예민한편임,,","Herding","중소도시","수컷","예",4,10,"기타",1,0,-1,0,-1
"3개월 추정 기운없음 설사,,","Mix","중소도시","암컷","아니오",1,2.7,"흰",1,0,-1,1,-1
"3개월 추정 마르고 기운없음 침흘림,,","Mix","중소도시","암컷","아니오",1,4,"흰",1,0,-1,0,-1
"3개월령 추정 기운없이 쳐저있고  마른상태,,","Mix","중소도시","암컷","아니오",1,4,"흰",1,0,-1,0,-1
"약간 소심한 아이,,","Mix","대도시","수컷","아니오",3,22,"검",0,0,-1,0,-1
"활발하고 안기는 것을 좋아하는 아이,,","Non-Sporting","대도시","수컷","아니오",2,4.5,"갈",1,1,0,0,1
"들개새끼6마리,,","Mix","중소도시","암컷","아니오",1,1.2,"갈",0,0,-1,0,-1
"들개새끼6마리,,","Mix","중소도시","수컷","아니오",1,2,"갈",0,0,-1,0,-1
"들개새끼6마리,,","Mix","중소도시","수컷","아니오",1,3,"갈",0,0,-1,0,-1
"들개새끼6마리,,","Mix","중소도시","수컷","아니오",1,2,"갈",0,0,-1,0,-1
"들개새끼6마리,,","Mix","중소도시","수컷","아니오",1,1.2,"갈",0,0,-1,0,-1
"2개월,콧물,,","Mix","대도시","수컷","아니오",1,2,"흰",0,0,-1,1,-1
"2개월,콧물,,","Mix","대도시","수컷","아니오",1,2,"흰",0,0,-1,1,-1
"2개월,콧물,,","Mix","대도시","수컷","아니오",1,2,"갈검",0,0,-1,1,-1
"콧물,2개월,,","Mix","대도시","암컷","아니오",1,2,"갈검",0,0,-1,1,-1
"콧물,어미들개,2개월,,","Mix","대도시","암컷","아니오",1,1.8,"흰",0,0,-1,1,-1
"5개월령 순함. 최근에 미용,,","Mix","대도시","수컷","아니오",1,5,"흰갈",1,1,0,0,1
"순함/슈나우져믹스/마름/신고자직접데려옴,,","Working","중소도시","암컷","아니오",1,4.3,"흰검",0,1,-1,0,0
"19-2135 현란, 줄무늬 옷 착용, 빨간색 체크목줄 착용, 경계,,","Non-Sporting","중소도시","수컷","아니오",7,4,"갈",0,0,-1,0,-1
"19-2134 덜덜 털엉킴심함,,","Non-Sporting","중소도시","수컷","아니오",4,5.5,"흰",1,0,-1,0,-1
"백내장,유선 종양 추정,,","Toy","대도시","암컷","아니오",13,4,"흰",0,0,-1,1,-1
"피부상태 불량,,","Toy","대도시","암컷","아니오",8,2.5,"흰",0,0,-1,1,-1
"설사증상,,","Mix","중소도시","수컷","아니오",1,0.5,"흰갈검",1,0,-1,1,-1
"노령견, 피부 불량, 치아상태 불량,,","Toy","중소도시","암컷","아니오",13,4,"흰",0,0,-1,1,-1
"노령견, 피부 불량, 치아상태 불량,,","Toy","중소도시","암컷","아니오",14,4,"흰",0,0,-1,1,-1
"노령견, 피부 불량, 치아상태 불량,,","Toy","중소도시","암컷","아니오",13,4,"흰",0,0,-1,1,-1
"뒷발 다침,,","Non-Sporting","중소도시","수컷","예",7,6,"갈",1,0,-1,1,-1
"노령견, 피부 불량, 치아상태 불량,,","Toy","중소도시","수컷","아니오",13,4,"흰",0,0,-1,1,-1
"성격온순,붉은 목테,,","Mix","중소도시","수컷","아니오",2,4.45,"갈",1,1,0,0,1
"치석많음,순하고사람잘따름,칩없음,,","Non-Sporting","대도시","수컷","예",8,5,"흰",1,1,-1,0,0
"온순하면서 잘따름,,","Sporting","소도시","수컷","아니오",2,40,"흰",1,1,0,0,1
"빨간 목끈 있음,설사증상,구토,파보 장염,,","Mix","중소도시","수컷","아니오",1,7,"흰",0,0,-1,1,-1
"사람을 좋아합니다,,","Mix","거대도시","암컷","아니오",2,5.2,"흰갈",1,1,0,0,1
"다리골절의심,,","Herding","중소도시","수컷","아니오",1,25,"갈검",1,0,-1,1,-1
"마름,순하고밝음,,","Non-Sporting","대도시","암컷","아니오",3,5.2,"흰검",1,1,-1,0,0
"오른쪽눈실명,순함,,","Mix","대도시","암컷","아니오",6,14,"갈",0,1,-1,1,0
"순함/진도믹스,,","Miscellaneous","중소도시","암컷","아니오",1,7.6,"흰",0,1,0,0,1
"순함,,","Sporting","중소도시","수컷","아니오",3,18.4,"갈",1,1,0,0,1
"경계심,,","Miscellaneous","중소도시","암컷","아니오",1,6.9,"흰",0,0,-1,0,-1
"경계심,,","Miscellaneous","중소도시","암컷","아니오",4,15.3,"흰",0,0,-1,0,-1
"온순함/털엉킴,,","Miscellaneous","중소도시","수컷","아니오",5,5,"흰",0,1,-1,0,0
"예민함,,","Mix","중소도시","수컷","아니오",5,2.5,"흰검",1,0,-1,0,-1
"양귀반접힘. 눈곱. 겁많음/으르렁거림/쓰다듬는건괜찮음. 꼬리단미안됨. 털때탐.,,","Non-Sporting","대도시","수컷","아니오",4,15.5,"흰",0,0,-1,0,-1
"온순함 지저분함 구조자께서 미용할 예정,,","Mix","대도시","수컷","아니오",2,10,"갈",1,1,-1,0,0
"온순,,","Mix","소도시","수컷","아니오",1,2,"흰",0,1,0,0,1
"순함, 5개월령,,","Mix","대도시","수컷","아니오",1,7.27,"흰",0,1,0,0,1
"순함, 녹색목줄,,","Mix","대도시","수컷","아니오",3,18.75,"흰",0,1,0,0,1
"순함, 얼굴에 물린 흉터,,","Mix","대도시","수컷","아니오",3,11.36,"흰",0,1,-1,1,0
"다리가짧음,겁많음 ,,","Mix","대도시","암컷","아니오",1,5,"흰",1,0,-1,0,-1
"교통사고 추정.,,","Mix","대도시","수컷","아니오",4,4.2,"흰",1,0,-1,0,-1
"영역표시 심함,심장사상충,치석증,혈뇨,,","Mix","중소도시","수컷","아니오",6,8,"검",0,0,-1,1,-1
"양귀쫑긋.코검정.겁있음/소심함/만질순있음.,,","Mix","중소도시","수컷","아니오",2,15,"갈검",0,0,-1,0,-1
"후구 사용불능/기립불능[교통사고로 추정],,","Mix","중소도시","암컷","아니오",5,10.2,"흰",0,0,-1,1,-1
"2개월령의 강아지로 성격 온순함,,","Mix","중소도시","암컷","아니오",1,2.3,"흰",1,1,0,0,1
"순함,,","Sporting","대도시","수컷","아니오",4,29,"갈",1,1,0,0,1
"데플닥스훈트,이쁜눈,순하고사람잘따름,,","Hound","대도시","수컷","아니오",3,7,"기타",1,1,0,0,1
"순함,,","Miscellaneous","대도시","암컷","아니오",4,16,"기타",1,1,0,0,1
"양귀쫑긋.코진분홍.겁많음/으르렁거림/경계함. ,,","Mix","중소도시","수컷","아니오",3,17,"흰",0,0,-1,0,-1
"양귀쫑긋.가슴앞쪽흰털있음.온순함/사람따름/호기심많음.,,","Mix","소도시","수컷","아니오",4,22,"흰검",0,1,0,0,1
"입소 후 중성화 수술 완료,,","Mix","거대도시","수컷","예",1,12,"흰",0,1,-1,1,0
"비교적양호한것으로사료되며,불안한지짖어댐,,","Mix","중소도시","수컷","아니오",2,13,"검",1,1,-1,1,0
"보라바탕+연두색줄 목줄. 코진분홍. 온순함. 사람따름. 꼬리단미안됨. 털상태 양호.,,","Non-Sporting","중소도시","수컷","아니오",4,5.8,"흰",1,1,0,0,1
"포유기.코검정.네다리/엉덩이/배/꼬리 오물오염.,,","Mix","중소도시","수컷","아니오",1,0.3,"검",0,0,-1,0,-1
"털이너무지저분해서 구조자가미용하셨다고함 약간경계,,","Toy","대도시","암컷","아니오",8,4,"흰갈",1,0,-1,0,-1
"목테착용 말랐음 사람좋아함,,","Sporting","대도시","암컷","아니오",5,13,"흰검",0,1,0,0,1
"온순함,,","Mix","대도시","암컷","아니오",1,2,"갈검",1,1,0,0,1
"거리를 며칠간 배회, 성격이 순함,,","Mix","소도시","암컷","아니오",3,6,"흰",0,1,0,0,1
"생후 1년6개월령 성견,대체로 온순함,,","Miscellaneous","중소도시","암컷","아니오",2,18,"흰",1,1,0,0,1
"순함 (삼푸냄새 남),,","Non-Sporting","중소도시","암컷","아니오",1,2.6,"갈",1,1,0,0,1
"털이 엉켜있음,,","Mix","대도시","수컷","아니오",1,3,"갈",1,0,-1,0,-1
"12-47, 칩없음, 저체온심함, 탈수,,","Mix","중소도시","수컷","아니오",1,3.5,"흰검",0,0,-1,1,-1
"순함,,","Mix","대도시","암컷","아니오",3,11.63,"흰",0,1,0,0,1
"순함,,","Mix","대도시","수컷","아니오",3,6.35,"흰검",0,1,0,0,1
"3개월령, 순함,,","Mix","대도시","수컷","아니오",1,3.28,"갈검",0,1,0,0,1
"3개월령, 순함,,","Mix","대도시","수컷","아니오",1,3.27,"갈검",0,1,0,0,1
"3개월령, 순함,,","Mix","대도시","암컷","아니오",1,3.26,"갈검",0,1,0,0,1
"3개월령, 순함,,","Mix","대도시","암컷","아니오",1,3.25,"갈검",0,1,0,0,1
"다리부러짐(오른쪽 앞,뒷 다리), 교통사고,,","Mix","대도시","수컷","아니오",1,8,"흰",0,0,-1,1,-1
"목에 상처 있음 ,,","Miscellaneous","중소도시","암컷","아니오",2,7.6,"흰",1,0,-1,1,-1
"19-2128 순둥, 귀가예정,,","Terrier","중소도시","수컷","예",7,3,"갈검",1,1,0,0,1
"성격온순,,","Non-Sporting","중소도시","수컷","예",5,11.26,"갈",1,1,0,0,1
"순함,,","Mix","소도시","수컷","아니오",1,5,"흰",0,1,0,0,1
"파란 목줄, 진드기 목줄,,","Mix","중소도시","암컷","아니오",5,18,"흰",0,0,-1,1,-1
"1개월전 출산. 순함. ,,","Miscellaneous","중소도시","암컷","아니오",4,18,"흰",0,1,0,0,1
"(번호7239)목줄착용. 진정제,,","Mix","중소도시","수컷","아니오",1,13,"갈",1,0,-1,0,-1
"(번호7238)생후3개월, 교상,,","Mix","중소도시","암컷","아니오",1,3.4,"갈",0,0,-1,1,-1
"통통하고, 온순함,,","Mix","중소도시","암컷","아니오",1,2.08,"흰",0,1,0,0,1
"통통하고,온순함,,","Mix","중소도시","수컷","아니오",1,2.4,"갈",1,1,0,0,1
"중성화, 친화적임, 치석많음,,","Herding","중소도시","수컷","예",9,17,"흰갈",1,1,-1,0,0
"사나움,포획틀로 포획,,","Mix","중소도시","암컷","아니오",3,10,"흰",0,0,-1,0,-1
"사나움,포획틀로 포획,,","Mix","중소도시","암컷","아니오",4,12,"흰",0,0,-1,0,-1
"성격이 온순,,","Mix","중소도시","암컷","아니오",4,18.45,"흰",0,1,0,0,1
